env_id,obs_mode,num_envs,num_cameras,camera_resolution,isaac_fps,maniskill_fps,fps_ratio,isaac_psps,maniskill_psps,psps_ratio
FrankaBenchmark-v1,depth,32,1,640x480,2297.9957514951693,4183.932554189733,1.820687680326431,71.81236723422404,130.74789231842917,1.820687680326431
FrankaBenchmark-v1,depth,64,1,640x480,3443.458869570951,5082.165835976096,1.475889803966012,53.804044837046106,79.4088411871265,1.475889803966012
FrankaBenchmark-v1,depth,128,1,640x480,4310.102410258128,5764.8982964870975,1.3375316286607315,33.67267508014162,45.03826794130545,1.3375316286607315
FrankaBenchmark-v1,rgb,4,1,640x480,535.6218760648169,1330.899345418868,2.4847740633689366,133.90546901620422,332.724836354717,2.4847740633689366
FrankaBenchmark-v1,rgb,16,1,640x480,1545.9340819227166,3200.053711839036,2.0699806992152276,96.6208801201698,200.0033569899397,2.0699806992152268
FrankaBenchmark-v1,rgb,32,1,640x480,2324.721130933101,4312.389764638558,1.8550137938083104,72.64753534165942,134.76218014495493,1.85501379380831
FrankaBenchmark-v1,rgb,64,1,640x480,3442.462631002129,5326.153684674817,1.5471928835794886,53.78847860940827,83.22115132304401,1.5471928835794884
FrankaBenchmark-v1,rgb,128,1,640x480,4288.376781334388,6029.471212780135,1.406003138302596,33.50294360417491,47.1052438498448,1.4060031383025957
FrankaBenchmark-v1,rgb,4,3,320x180,402.3112226792125,1183.0105874453004,2.9405358855439823,100.57780566980313,295.7526468613251,2.9405358855439823
FrankaBenchmark-v1,rgb,16,3,320x180,1315.066964123872,2513.595180647439,1.9113818909762168,82.19168525774201,157.09969879046494,1.9113818909762166
FrankaBenchmark-v1,rgb,32,3,320x180,2203.386995738503,3156.5626299602377,1.4325956520871002,68.85584361682822,98.64258218625744,1.4325956520871004
FrankaBenchmark-v1,rgb,64,3,320x180,3578.38642540579,3710.4848889935415,1.0369156507664685,55.912287896965466,57.976326390524086,1.0369156507664685
FrankaBenchmark-v1,rgb,128,3,320x180,4880.431202231692,4048.510983461106,0.8295396074039174,38.12836876743509,31.62899205828989,0.8295396074039173
FrankaBenchmark-v1,rgb,256,3,320x180,6405.926885645098,4260.738770388767,0.66512447713641,25.023151897051164,16.64351082183112,0.66512447713641
FrankaBenchmark-v1,depth,4,3,320x180,402.755081035502,1164.530807089907,2.891411832957748,100.6887702588755,291.1327017724768,2.8914118329577483
FrankaBenchmark-v1,depth,16,3,320x180,1330.3190553976156,2445.209901741051,1.8380627503003095,83.14494096235097,152.8256188588157,1.8380627503003095
FrankaBenchmark-v1,depth,32,3,320x180,2192.748610186037,3102.4983694386856,1.414890131511913,68.52339406831365,96.95307404495892,1.414890131511913
FrankaBenchmark-v1,depth,64,3,320x180,3579.354938225347,3645.0597354391934,1.018356602892929,55.92742090977104,56.9540583662374,1.018356602892929
FrankaBenchmark-v1,depth,128,3,320x180,4805.827101338445,3970.258468438144,0.8261342709005093,37.5455242292066,31.017644284673,0.8261342709005093
FrankaBenchmark-v1,depth,256,3,320x180,6560.259840933612,4173.98030293901,0.6362522833158079,25.62601500364692,16.304610558355506,0.636252283315808
